augment_data,batch_size,bwd_sample_count,continue_training,dataset,end_retrain_acc,end_retrain_loss,end_test_acc,end_test_loss,end_train_acc,end_train_loss,epochs,experiment,fwd_sample_count,fwd_time_per_sample,load_model,presample,random_retrain,relearning_rate,retrain_epochs,retrain_rate,retrain_size,retrain_threshold,retrain_time,save_model,start_retrain_acc,start_retrain_loss,start_test_acc,start_test_loss,start_train_acc,start_train_loss,train_score,whitening
0.0,128.0,6.0,0.0,CIFAR-10,0.5725333333333333,1.3395504877090454,0.5679,1.3635337688446043,0.5906,1.29632405229296,10.0,rate_retrain,128.0,0.0075864890098571,cifar10_uniform_70_mv.h5,1.0,0.0,0.004,1.0,0.05,0.3,,136.1309327340132,,0.7008666666666666,1.0316266885757446,0.6871,1.0578019690513611,0.7843714285850525,0.7514324819156102,uniform,0.0
0.0,128.0,6.0,0.0,CIFAR-10,0.51908,1.4323220235443117,0.5166,1.43369894657135,0.54332,1.3704276533508302,10.0,rate_retrain,128.0,0.0077583528995513,cifar10_uniform_50.h5,1.0,0.0,0.004,1.0,0.05,0.5,,225.05386502599868,,0.64484,1.140163815345764,0.6381,1.1566092752456665,0.73184,0.863140806427002,uniform,0.0
0.0,128.0,12.0,0.0,CIFAR-10,0.6129333333651225,1.2765442028045657,0.5987,1.3095114505767822,0.6349999999863761,1.206170164162772,10.0,rate_retrain,128.0,0.0076119638681411,cifar10_uniform_70_mv.h5,1.0,0.0,0.004,1.0,0.1,0.3,,148.45768301199132,,0.7008666666666666,1.0316266906102498,0.6871,1.0578019686698914,0.7843714285850525,0.7514324937684196,uniform,0.0
0.0,128.0,12.0,0.0,CIFAR-10,0.57716,1.3016355491638183,0.5804,1.305637971496582,0.60844,1.206378949203491,10.0,rate_retrain,128.0,0.0076076910734176,cifar10_uniform_50.h5,1.0,0.0,0.004,1.0,0.1,0.5,,242.26043617899995,,0.64484,1.1401638205337523,0.6381,1.156609282875061,0.73184,0.8631408095550537,uniform,0.0
0.0,128.0,25.0,0.0,CIFAR-10,0.6648666666666667,1.0928575271606444,0.6405,1.1368158576965333,0.6974857142993383,0.9902172270638602,10.0,rate_retrain,128.0,0.0076038587331771,cifar10_uniform_70_mv.h5,1.0,0.0,0.004,1.0,0.2,0.3,,175.43242093600566,,0.7008666666666666,1.0316266946792605,0.6871,1.0578019726753234,0.7843714285850525,0.7514325008256095,uniform,0.0
0.0,128.0,25.0,0.0,CIFAR-10,0.62248,1.173962637634277,0.6151,1.203581453895569,0.66296,1.0688492010688782,10.0,rate_retrain,128.0,0.0077912332773208,cifar10_uniform_50.h5,1.0,0.0,0.004,1.0,0.2,0.5,,291.2568254640209,,0.64484,1.1401638304138184,0.6381,1.156609289741516,0.73184,0.8631408109283447,uniform,0.0
0.0,128.0,51.0,0.0,CIFAR-10,0.7102666666984558,0.9644108277638752,0.684,1.0272812885284424,0.7510285714421954,0.8499216967855181,10.0,rate_retrain,128.0,0.0075830658912658,cifar10_uniform_70_mv.h5,1.0,0.0,0.004,1.0,0.4,0.3,,235.6874901579868,,0.7008666666666666,1.0316266963322958,0.6871,1.0578019726753234,0.7843714285850525,0.7514324969564166,uniform,0.0
0.0,128.0,51.0,0.0,CIFAR-10,0.64848,1.101653669166565,0.6351,1.1474585073471069,0.69316,0.981091840248108,10.0,rate_retrain,128.0,0.0075913023233413,cifar10_uniform_50.h5,1.0,0.0,0.004,1.0,0.4,0.5,,387.5121648309869,,0.64484,1.1401638024902343,0.6381,1.1566092626571656,0.73184,0.8631407983398437,uniform,0.0
0.0,128.0,64.0,0.0,CIFAR-10,0.7231333333015442,0.9363023217837017,0.6971,1.0063132036209106,0.7655142857006618,0.8246297000203814,10.0,rate_retrain,128.0,0.0076249764204025,cifar10_uniform_70_mv.h5,1.0,0.0,0.004,1.0,0.5,0.3,,265.6096627910156,,0.7008666666666666,1.0316266951878863,0.6871,1.057801969432831,0.7843714285850525,0.7514324987547738,uniform,0.0
0.0,128.0,64.0,0.0,CIFAR-10,0.6554,1.095523119468689,0.6341,1.1411168807983398,0.69928,0.9692380835342408,10.0,rate_retrain,128.0,0.0076168555736541,cifar10_uniform_50.h5,1.0,0.0,0.004,1.0,0.5,0.5,,439.4740599869983,,0.64484,1.1401638122940063,0.6381,1.1566092714309693,0.73184,0.8631408048248291,uniform,0.0
