augment_data,batch_size,bwd_sample_count,continue_training,dataset,end_retrain_acc,end_retrain_loss,end_test_acc,end_test_loss,end_train_acc,end_train_loss,epochs,experiment,fwd_sample_count,fwd_time_per_sample,load_model,presample,random_retrain,relearning_rate,retrain_epochs,retrain_rate,retrain_size,retrain_threshold,retrain_time,save_model,start_retrain_acc,start_retrain_loss,start_test_acc,start_test_loss,start_train_acc,start_train_loss,train_score,whitening
0.0,128.0,6.0,0.0,CIFAR-10,0.41276666666666667,1.8307814723968505,0.4209,1.8280657236099243,0.4253,1.8020385416030884,10.0,rate_retrain,128.0,0.0017396569013595582,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.05,0.6,,77.54988910699967,,0.7611666666666667,1.5075811993598938,0.7565,1.5249392280578613,1.0,0.26385214138031005,uniform,0.0
0.0,500.0,25.0,0.0,CIFAR-10,0.7154333333333334,1.138890139357249,0.7098,1.1578025194168091,0.86245,0.6504958437919617,10.0,rate_retrain,500.0,0.0011456068515777588,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.05,0.6,,46.05426989300031,,0.7611666666666667,1.507581188170115,0.7565,1.5249392168045044,1.0,0.26385215010643004,uniform,0.0
0.0,20.0,1.0,0.0,CIFAR-10,0.0986,14.785333947753907,0.1,14.76276863708496,0.1021,14.728920628356933,10.0,rate_retrain,20.0,0.001125827693939209,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.05,0.6,,109.22421965900048,,0.7611666666666667,1.5075812175432841,0.7565,1.5249392524719239,1.0,0.263852152967453,uniform,0.0
0.0,128.0,25.0,0.0,CIFAR-10,0.7511333333333333,0.9950469132741292,0.7335,1.0652823690414428,0.8825,0.6423187393188476,10.0,rate_retrain,128.0,0.0011566276788711547,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.2,0.6,,69.135281244,,0.7611666666666667,1.5075811967213948,0.7565,1.524939229774475,1.0,0.26385215010643004,uniform,0.0
0.0,500.0,100.0,0.0,CIFAR-10,0.7639333333333334,0.9614900073369345,0.7465,1.0247956807136536,0.95615,0.44762337942123415,10.0,rate_retrain,500.0,0.0011415621280670167,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.2,0.6,,69.01915175399972,,0.7611666666666667,1.5075812100728352,0.7565,1.5249392414093017,1.0,0.2638521674156189,uniform,0.0
0.0,20.0,4.0,0.0,CIFAR-10,0.0991,14.786839778137207,0.1,14.772333515930177,0.10135,14.75057410736084,10.0,rate_retrain,20.0,0.00115093674659729,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.2,0.6,,135.51457953200043,,0.7611666666666667,1.5075812080701192,0.7565,1.524939239883423,1.0,0.26385216493606567,uniform,0.0
0.0,128.0,51.0,0.0,CIFAR-10,0.7802666666666667,0.9012970881779988,0.7523,1.0044496190071106,0.9149,0.5150201203346253,10.0,rate_retrain,128.0,0.0011469599962234498,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.4,0.6,,95.45016498199948,,0.7611666666666667,1.5075812061627707,0.7565,1.5249392377853395,1.0,0.2638521287441254,uniform,0.0
0.0,500.0,200.0,0.0,CIFAR-10,0.7792,0.9151432596842448,0.7572,0.9880551728248597,0.97485,0.3973799692153931,10.0,rate_retrain,500.0,0.0010965288877487183,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.4,0.6,,102.53398694600037,,0.7611666666666667,1.5075812180836996,0.7565,1.5249392498016356,1.0,0.2638521358966827,uniform,0.0
0.0,20.0,8.0,0.0,CIFAR-10,0.6731,1.2113332873662312,0.6516,1.2614049554824829,0.7003,1.125593511390686,10.0,rate_retrain,20.0,0.0011494544029235839,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.4,0.6,,157.10591214299984,,0.7611666666666667,1.5075811968167623,0.7565,1.5249392251968383,1.0,0.26385216426849367,uniform,0.0
0.0,128.0,64.0,0.0,CIFAR-10,0.7936666666666666,0.8581986109733581,0.7622,0.9589330479621887,0.9471,0.46004465312957765,10.0,rate_retrain,128.0,0.001146117353439331,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.5,0.6,,111.13394457999948,,0.7611666666666667,1.507581195863088,0.7565,1.5249392219543456,1.0,0.2638521677017212,uniform,0.0
0.0,500.0,250.0,0.0,CIFAR-10,0.7793666666666667,0.9044915844599406,0.7616,0.9756666418075561,0.9761,0.40236263065338135,10.0,rate_retrain,500.0,0.0011491632223129273,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.5,0.6,,121.82581093599947,,0.7611666666666667,1.5075812238057456,0.7565,1.5249392532348633,1.0,0.26385214691162107,uniform,0.0
0.0,20.0,10.0,0.0,CIFAR-10,0.728,1.0450144205729166,0.6947,1.1218382106781006,0.77945,0.8857653924942016,10.0,rate_retrain,20.0,0.001156018877029419,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.5,0.6,,163.92847242800053,,0.7611666666666667,1.5075811991055807,0.7565,1.524939228439331,1.0,0.26385214991569517,uniform,0.0
0.0,128.0,102.0,0.0,CIFAR-10,0.8167333333333333,0.7860376640319824,0.7822,0.8915642230987549,0.9689,0.4178746229171753,10.0,rate_retrain,128.0,0.001178568434715271,cifar10_uniform_40.h5,1.0,0.0,0.004,1.0,0.8,0.6,,158.0208160329994,,0.7611666666666667,1.5075812254587808,0.7565,1.524939262008667,1.0,0.2638521537780762,uniform,0.0
